date,game_id,away_team,home_team,market_spread,model_spread,spread_edge,market_total,model_total,total_edge,away_score,home_score,actual_margin,actual_total,predicted_margin,predicted_total,spread_residual,total_residual,wrong_spread,wrong_total,blowout_flag,clutch_flag,pace_outlier_flag,efficiency_outlier_flag,home_adv_miss_flag,back_to_back_flag,reason_codes,spread_reason_codes,total_reason_codes
2025-12-25,18447235,HOU,LAL,24.5,-33.63861339004046,-58.13861339004046,213.5,204.7373576852131,-8.762642314786888,119,96,-23.0,215.0,33.63861339004046,204.7373576852131,-56.63861339004046,10.262642314786888,True,True,True,False,False,False,False,False,blowout,blowout,
2025-12-27,18447250,IND,MIA,-22.5,22.6953326465487,45.1953326465487,261.5,258.6308770844257,-2.8691229155742803,116,142,26.0,258.0,-22.6953326465487,258.6308770844257,48.6953326465487,-0.6308770844257197,True,False,True,False,False,False,False,True,blowout|back_to_back,blowout|back_to_back,
2025-12-28,18447256,PHI,OKC,-23.5,21.00724178641623,44.50724178641623,234.5,233.62229015329783,-0.8777098467021744,104,129,25.0,233.0,-21.00724178641623,233.62229015329783,46.00724178641623,-0.6222901532978256,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-27,18447247,DEN,ORL,-2.5,-3.1941457292689606,-0.6941457292689606,248.5,291.1950553170884,42.69505531708842,126,127,1.0,253.0,3.1941457292689606,291.1950553170884,-2.1941457292689606,-38.19505531708842,False,False,False,True,False,False,False,True,,,
2025-12-27,18447252,CLE,HOU,-18.5,19.133247788454028,37.63324778845403,212.5,210.17915578502547,-2.320844214974528,100,117,17.0,217.0,-19.133247788454028,210.17915578502547,36.13324778845403,6.820844214974528,True,True,True,False,False,False,False,False,blowout,blowout,
2025-12-26,18447240,BOS,IND,17.5,-16.584232991705015,-34.084232991705015,255.5,256.8065096494535,1.3065096494535169,140,122,-18.0,262.0,16.584232991705015,256.8065096494535,-34.584232991705015,5.193490350546483,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-26,18447242,MIL,MEM,-16.5,17.551590042882225,34.051590042882225,233.5,230.7933340019171,-2.7066659980829115,104,125,21.0,229.0,-17.551590042882225,230.7933340019171,38.551590042882225,-1.7933340019170885,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-29,18447269,ATL,OKC,-17.5,16.500270316628523,34.00027031662852,232.5,229.55836397544607,-2.9416360245539295,0,0,0.0,0.0,-16.500270316628523,229.55836397544607,16.500270316628523,-229.55836397544607,,False,False,True,True,True,False,True,,,
2025-12-27,18447253,BKN,MIN,16.5,-16.77396082208236,-33.27396082208236,229.5,224.15234807403084,-5.34765192596916,123,107,-16.0,230.0,16.77396082208236,224.15234807403084,-32.77396082208236,5.84765192596916,True,True,True,False,False,False,False,False,blowout,blowout,
2025-12-25,18447233,SAS,OKC,13.5,-17.555284517176045,-31.055284517176045,220.5,215.17934323904245,-5.320656760957547,117,102,-15.0,219.0,17.555284517176045,215.17934323904245,-32.55528451717605,3.8206567609575472,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-26,18447238,CHA,ORL,15.5,-14.193323649657508,-29.693323649657508,225.5,223.9757154693474,-1.5242845306526078,120,105,-15.0,225.0,14.193323649657508,223.9757154693474,-29.193323649657508,1.0242845306526078,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-29,18447270,CLE,SAS,-3.5,1.6123829878580702,5.11238298785807,243.5,271.1775290457643,27.677529045764288,0,0,0.0,0.0,-1.6123829878580702,271.1775290457643,1.6123829878580702,-271.1775290457643,,True,False,True,True,True,False,False,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-26,18447239,TOR,WAS,-16.5,10.92512096089262,27.42512096089262,259.5,259.4121362098773,-0.08786379012269663,117,138,21.0,255.0,-10.92512096089262,259.4121362098773,31.92512096089262,-4.412136209877303,True,False,True,False,False,False,False,False,blowout,blowout,
2025-12-29,18447267,IND,HOU,-13.5,12.055008869449384,25.555008869449384,222.5,220.69497691318014,-1.8050230868198582,0,0,0.0,0.0,-12.055008869449384,220.69497691318014,12.055008869449384,-220.69497691318014,,False,False,True,True,True,False,False,,,
2025-12-26,18447237,MIA,ATL,11.5,-13.562159900031823,-25.062159900031823,238.5,240.71664114598784,2.216641145987836,126,111,-15.0,237.0,13.562159900031823,240.71664114598784,-28.562159900031823,-3.716641145987836,True,True,True,False,False,False,False,False,blowout,blowout,
2025-12-28,18447260,SAC,LAL,-13.5,11.245311831986982,24.74531183198698,233.5,228.6114138456146,-4.8885861543853935,101,125,24.0,226.0,-11.245311831986982,228.6114138456146,35.24531183198698,-2.6114138456146065,True,False,True,False,False,False,False,True,blowout|back_to_back,blowout|back_to_back,
2025-12-28,18447255,GSW,TOR,-13.5,11.240706944340381,24.74070694434038,268.5,266.0977271851146,-2.402272814885407,127,141,14.0,268.0,-11.240706944340381,266.0977271851146,25.24070694434038,1.9022728148854071,True,False,False,False,False,False,False,False,,,
2025-12-29,18447262,PHX,WAS,10.5,-13.770141729092597,-24.270141729092597,233.5,215.7335359982705,-17.766464001729503,0,0,0.0,0.0,13.770141729092597,215.7335359982705,-13.770141729092597,-215.7335359982705,,False,False,True,True,True,False,True,,,
2025-12-26,18447245,LAC,POR,10.5,-11.457750529107923,-21.957750529107923,220.5,215.47892758791906,-5.02107241208094,119,103,-16.0,222.0,11.457750529107923,215.47892758791906,-27.457750529107923,6.52107241208094,True,True,True,False,False,False,False,False,blowout,blowout,
2025-12-25,18447234,DAL,GSW,-10.5,9.854672211320029,20.35467221132003,240.5,242.01823167323028,1.5182316732302752,116,126,10.0,242.0,-9.854672211320029,242.01823167323028,19.85467221132003,-0.01823167323027519,True,False,False,False,False,False,False,False,,,
2025-12-29,18447268,NYK,NOP,8.5,-10.310607688407973,-18.810607688407973,247.5,256.37343744268986,8.873437442689863,0,0,0.0,0.0,10.310607688407973,256.37343744268986,-10.310607688407973,-256.37343744268986,,True,False,True,True,True,False,False,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-27,18447254,UTA,SAS,8.5,-9.351114051958767,-17.851114051958767,246.5,237.9987422850534,-8.501257714946604,127,114,-13.0,241.0,9.351114051958767,237.9987422850534,-22.351114051958767,3.001257714946604,True,False,False,False,False,False,False,True,back_to_back,back_to_back,
2025-12-27,18447248,PHX,NOP,8.5,-7.753412840941284,-16.253412840941284,231.5,234.3427008554501,2.84270085545009,123,114,-9.0,237.0,7.753412840941284,234.3427008554501,-16.753412840941284,2.65729914454991,True,False,False,False,False,False,False,True,back_to_back,back_to_back,
2025-12-29,18447263,GSW,BKN,6.5,-6.657202009598922,-13.157202009598922,226.5,232.2594898567748,5.759489856774792,0,0,0.0,0.0,6.657202009598922,232.2594898567748,-6.657202009598922,-232.2594898567748,,True,False,True,True,True,False,True,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-29,18447266,MIN,CHI,6.5,-6.434054695867763,-12.934054695867763,243.5,251.20730146984846,7.70730146984846,0,0,0.0,0.0,6.434054695867763,251.20730146984846,-6.434054695867763,-251.20730146984846,,True,False,True,True,True,False,False,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-29,18447271,DAL,POR,-2.5,-2.638094104794683,-0.13809410479468287,232.5,245.38548977786672,12.885489777866724,0,0,0.0,0.0,2.638094104794683,245.38548977786672,-2.638094104794683,-245.38548977786672,,True,False,True,True,True,False,True,pace_outlier|efficiency_outlier,,pace_outlier|efficiency_outlier
2025-12-27,18447246,DAL,SAC,-5.5,5.934637123685286,11.434637123685286,222.5,221.12503774875432,-1.3749622512456767,107,113,6.0,220.0,-5.934637123685286,221.12503774875432,11.934637123685286,-1.1250377487543233,True,False,False,False,False,False,False,False,,,
2025-12-25,18447232,CLE,NYK,-5.5,5.728588856739053,11.228588856739053,245.5,242.5626971160167,-2.937302883983307,124,126,2.0,250.0,-5.728588856739053,242.5626971160167,7.728588856739053,7.437302883983307,True,True,False,True,False,False,False,False,clutch,clutch,
2025-12-27,18447251,MIL,CHI,5.5,-4.800507391421531,-10.300507391421531,213.5,203.08170371333577,-10.41829628666423,112,103,-9.0,215.0,4.800507391421531,203.08170371333577,-13.800507391421531,11.91829628666423,True,True,False,False,False,False,False,True,back_to_back,back_to_back,
2025-12-28,18447258,BOS,POR,-2.5,4.902004166587178,7.402004166587178,221.5,211.86808790285428,-9.631912097145715,108,114,6.0,222.0,-4.902004166587178,211.86808790285428,10.902004166587178,10.131912097145715,True,True,False,False,False,False,False,False,,,
2025-12-26,18447243,PHX,NOP,4.5,-3.6109096995084577,-8.110909699508458,241.5,245.3691167632384,3.869116763238395,115,108,-7.0,223.0,3.6109096995084577,245.3691167632384,-10.610909699508458,-22.369116763238395,True,True,False,False,False,False,False,False,,,
2025-12-27,18447249,NYK,ATL,1.5,-6.206728255165391,-7.706728255165391,253.5,248.47238117075787,-5.0276188292421296,128,125,-3.0,253.0,6.206728255165391,248.47238117075787,-9.206728255165391,4.5276188292421296,True,False,False,True,False,False,False,True,back_to_back|clutch,back_to_back|clutch,
2025-12-28,18447257,MEM,WAS,-3.5,4.15652887892449,7.65652887892449,231.5,229.84885215121616,-1.651147848783836,112,116,4.0,228.0,-4.15652887892449,229.84885215121616,8.15652887892449,-1.848852151216164,True,False,False,False,False,False,False,False,,,
2025-12-26,18447241,PHI,CHI,-3.5,3.2948356209905603,6.79483562099056,218.5,216.7651125788392,-1.7348874211608063,102,109,7.0,211.0,-3.2948356209905603,216.7651125788392,10.294835620990561,-5.765112578839194,True,False,False,False,False,False,False,False,,,
2025-12-26,18447244,DET,UTA,-2.5,0.8240209144204886,3.3240209144204886,261.5,255.83754057194957,-5.6624594280504255,129,131,2.0,260.0,-0.8240209144204886,255.83754057194957,2.8240209144204886,4.1624594280504255,True,False,False,True,False,False,True,False,home_adv_miss|clutch,home_adv_miss|clutch,
2025-12-25,18447236,MIN,DEN,-1.5,3.8510243814430964,5.3510243814430964,258.5,262.07667815583716,3.5766781558371576,138,142,4.0,280.0,-3.8510243814430964,262.07667815583716,7.8510243814430964,17.923321844162842,True,False,False,False,False,False,False,False,,,
2025-12-28,18447259,DET,LAC,3.5,-1.5024332556629307,-5.002433255662931,224.5,220.36382475155935,-4.136175248440651,99,112,13.0,211.0,1.5024332556629307,220.36382475155935,11.49756674433707,-9.36382475155935,False,False,False,False,False,False,False,False,,,
2025-12-29,18447264,DEN,MIA,1.5,-3.060094641636028,-4.560094641636028,244.5,242.197938783206,-2.3020612167939873,0,0,0.0,0.0,3.060094641636028,242.197938783206,-3.060094641636028,-242.197938783206,,False,False,True,True,True,False,False,,,
2025-12-29,18447265,ORL,TOR,1.5,-2.775002367046845,-4.275002367046845,220.5,218.88548268996576,-1.6145173100342447,0,0,0.0,0.0,2.775002367046845,218.88548268996576,-2.775002367046845,-218.88548268996576,,False,False,True,True,True,False,True,,,
2025-12-29,18447261,MIL,CHA,3.5,2.4399926837810675,-1.0600073162189325,227.5,227.27058189656762,-0.2294181034323799,0,0,0.0,0.0,-2.4399926837810675,227.27058189656762,2.4399926837810675,-227.27058189656762,,False,False,True,True,True,False,False,,,
